output,input,translated
"폐실질 내의 염증 과정은 (폐)세엽에 상당한 변화를 일으켜 가스 교환 효율을 감소시키고 전반적인 호흡 기능을 저하시켰으며, 이는 추가적인 구조적 손상을 예방하기 위한 조기 개입의 중요성을 강조합니다.","The inflammatory process within the lung parenchyma had caused significant alterations to the (pulmonary) acinus, leading to reduced gas exchange efficiency and overall respiratory compromise, highlighting the importance of early intervention to prevent further structural damage.",폐질환부 내 염증 과정은 유기체의 상피 변화에 큰 변화를 일으켜 가스 교환 효율과 전반적인 호흡 장애를 감소시켰으며 더 이상 구조적 손상을 방지하기 위한 조기에 개입하는 것이 중요하다는 것을 강조했다.
"산전 초음파 검사 중, 영상의학과 의사는 폐의 부엽을 확인했으며, 이는 종종 양성이지만 관련 선천성 기형이나 향후 호흡 기능 저하 가능성을 배제하기 위해 추가적인 모니터링이 필요합니다.","During the prenatal ultrasound, the radiologist identified an accessory lobe of the lung, a finding that while often benign, necessitates further monitoring to rule out any associated congenital anomalies or potential for future respiratory compromise.",임신초음파 검사 중 방사선 전문의는 폐의 부속엽을 확인하였으며 이는 종종 양성일지라도 후생에 대한 결찰이나 잠재적인 호흡곤란 가능성을 배제하기 위해 추가 모니터링이 필요하다는 것을 의미한다.
"환자는 빠르게 진행되는 호흡곤란과 저산소증을 보였으며, 이는 급성간질폐렴(AIP)에 대한 높은 의심으로 이어졌고, 이후 고해상도 컴퓨터 단층 촬영에서 미만성 폐포 손상과 양측 간유리음영을 보여 확진되었습니다.","The patient presented with rapidly progressive dyspnea and hypoxemia, leading to a high suspicion for acute interstitial pneumonia, AIP, which was subsequently confirmed by high-resolution computed tomography showing diffuse alveolar damage and bilateral ground-glass opacities.","환자가 급성 간질성 폐렴에 대한 높은 의심으로 인해 빠르게 진행되는 호흡곤란과 저산소혈증을 나타내었고, 이후 고해상도 컴퓨터 단층 촬영에서 확산된 기관지 손상 및 양측 유리유리 밀도를 보여 주어 확인되었다."
"심한 저산소혈증과 양측성 폐 침윤을 보이는 환자는 급성호흡곤란증후군(ARDS)으로 진단되었으며, 산소 공급을 지원하고 추가적인 폐 손상을 방지하기 위해 즉각적인 삽관 및 기계적 환기가 필요했습니다.","The patient, exhibiting severe hypoxemia and bilateral pulmonary infiltrates, was diagnosed with acute respiratory distress syndrome (ARDS), necessitating immediate intubation and mechanical ventilation to support oxygenation and prevent further lung damage.",환자는 심각한 저산소혈증과 양측 폐침윤을 보이며 급성 호흡곤란 증후군(ARDS) 진단을 받았으며 산소를 지원하고 추가적인 폐 손상을 방지하기 위해 즉시 삽관 및 기계적 환기를 필요로 했다.
"흉부 엑스레이 검사 결과, 우측 폐 하엽에서 계면활성제 생성 감소와 그에 따른 폐포 허탈로 인해 발생했을 가능성이 높은 유착성무기폐를 시사하는 소견이 확인되었습니다.","The chest X-ray revealed findings suggestive of adhesive atelectasis in the lower lobe of the right lung, likely resulting from reduced surfactant production and subsequent alveolar collapse.","상복부 엑스레이에서 오른쪽 폐의 하엽에 접착성 기흉을 시사하는 소견이 나타났으며, 이는 감소된 표면활성제 생성과 그 이후의 폐포 붕괴로 인한 것으로 보인다."
"흉부 X선 촬영 결과, 우하엽에서 공기기관지조영이 보이는 경화가 확인되었으며, 이는 기관지 폐쇄보다는 폐렴과 같은 폐포 과정을 시사합니다.","The chest X-ray revealed a consolidation in the right lower lobe with visible air bronchogram, suggesting an alveolar process like pneumonia rather than a bronchial obstruction.",흉부 엑스레이에서 오른쪽 하엽에 가시적인 기관지강경을 보이는 응집이 나타나며 기관절폐 폐쇄와는 달리 폐렴과 같은 세포성 과정으로 의심된다.
"흉부 컴퓨터 단층 촬영 결과, 기존의 공동 내에 곰팡이 공이 발견되었으며, 이는 아스페르길루스종 형성을 나타내는 특징적인 공기초생달 모양을 보였고, 유사한 방사선학적 특징을 보이는 다른 폐 병변과의 신중한 감별이 필요했습니다.","Chest computed tomography revealed a fungal ball within a preexisting cavity, exhibiting a characteristic air crescent sign, indicative of aspergilloma formation and requiring careful differentiation from other pulmonary lesions exhibiting similar radiographic features.",흉부 컴퓨터 단층 촬영에서 기존의 빈 공간 내에 진균 구를 보이며 특징적인 공기 반달 징후가 나타나 있어 아스페르길로마 형성과 유사한 방사선학적 소견을 가진 다른 폐 병변으로부터 주의 깊은 차별화가 필요하다.
"흉부 CT 스캔 결과, 폐 실질에 여러 개의 기낭이 발견되어 폐 림프관평활근종증 또는 기타 낭성 폐 질환과 같은 상태에 대한 의심이 제기되었으며, 근본적인 원인을 파악하고 적절한 관리 전략을 수립하기 위해 추가적인 조사가 필요합니다.","The chest CT scan revealed multiple air-filled cysts in the lung parenchyma, raising suspicion for conditions like pulmonary lymphangioleiomyomatosis or other cystic lung diseases, requiring further investigation to determine the underlying cause and guide appropriate management strategies.",흉부 CT 스캔에서 폐 실질에 다수의 공기 채운 낭종이 관찰되어 폐 림프관육종증 또는 기타 낭성폐 질환의 의심을 높이며 근본 원인과 적절한 관리 전략을 위한 추가 조사가 필요하다.
"흉부 방사선 촬영에서 우측 흉막강 내에 우려스러운 공기액체층이 관찰되었으며, 이는 즉각적인 임상 평가와 잠재적인 중재를 필요로 하는 기흉수흉을 시사했습니다.","The chest radiograph demonstrated a concerning air-fluid level within the right pleural space, suggesting a hydropneumothorax that warranted immediate clinical assessment and potential intervention.",흉부 방사선 촬영에서 우측 흉막 공간 내에 유의미한 기체-수분 수준이 관찰되었으며 이는 즉각적인 임상 평가 및 잠재적 중재를 필요로 하는 과잉성 흡수액 흉팽만을 시사하였다.
"컴퓨터 단층촬영 스캔에서 우측 하엽의 공기공간 감소와 함께 상당한 경화가 확인되었으며, 이는 가능한 염증 과정 또는 감염을 시사하므로, 병변의 범위를 평가하기 위해 기관지경 검사를 추가로 권장했습니다.","The computed tomography scan revealed significant consolidation with decreased airspace in the right lower lobe, suggesting a possible inflammatory process or infection, and further evaluation with a bronchoscopy was recommended to assess the extent of the lesion.",컴퓨터 단층 촬영 검사에서 우측 하엽의 공기 공간 감소와 함께 유의한 응집이 관찰되어 염증성 과정이나 감염 가능성이 제시되었으며 병변 범위 평가를 위해 기관지경을 이용한 추가적인 평가는 권고되었다.
"흉부 컴퓨터 단층촬영 결과, 하엽에서 유의미한 공기가둠이 확인되었으며, 이는 소기도 질환을 시사하며, 호기성 기류 제한의 정도를 정량화하기 위해 추가적인 폐활량측정 검사가 권장되었습니다.","Chest computed tomography revealed significant air-trapping in the lower lobes, suggestive of small airway disease, and further spirometry testing was recommended to quantify the extent of the expiratory airflow limitation.",흉부 컴퓨터 단층 촬영에서 하엽에 유의미한 기공이 관찰되어 소기관 질환을 시사하였고 배기 공기의 제한 정도를 정량화하기 위해 추가적인 스피로미터 검사를 권장하였다.
심한 혈관부종으로 인해 손상된 환자의 기도는 환기를 확보하고 추가적인 호흡 곤란을 예방하기 위해 즉각적인 기관내 삽관을 필요로 했습니다.,"The patient's compromised airway, resulting from severe angioedema, necessitated an immediate endotracheal intubation to secure ventilation and prevent further respiratory distress.",환자의 심각한 혈관염으로 인해 손상된 기도는 즉시 내호흡 삽관을 통해 호기와 추가의 폐부전을 방지하기 위해 필요했다.
"환자의 재발성 천명 및 폐 침윤, IgE 수치 상승 및 아스페르길루스에 대한 양성 피부 단자 시험 결과는 알레르기기관지폐아스페르길루스증 진단을 강력히 시사하며, 고해상도 CT 영상 및 객담 배양을 통한 추가 평가가 필요합니다.","The patient's recurrent episodes of wheezing and pulmonary infiltrates, coupled with elevated IgE levels and a positive skin prick test to Aspergillus, strongly suggested a diagnosis of allergic bronchopulmonary aspergillosis, necessitating further evaluation with high-resolution CT imaging and sputum culture.",환자의 호흡기 침윤과 함께 높은 IgE 수치와 아스페르길루스를 위한 긍정적인 피부 삽입 테스트를 결합한 천명성 폐쇄 기관지 아스퍼질로시스는 고해상도 CT 영상 및 가래 배양을 통한 추가 평가가 필요하다는 진단이 강력하게 제안되었다.
"병리학적 검사 결과, 폐포관 주변에 심각한 염증과 섬유화가 발견되었으며, 이는 가스 교환 효율을 저해할 수 있는 만성 간질성 폐 질환을 시사합니다.","The pathological examination revealed significant inflammation and fibrosis surrounding the alveolar duct, suggesting a chronic interstitial lung disease that may impair gas exchange efficiency.",병리학적 검사에서 폐포 주위에 심각한 염증과 섬유화가 관찰되었으며 이는 가스 교환 효율을 저하할 수 있는 만성 간질성 폐 질환이라는 것을 시사한다.
"폐포의 집합체인 폐포낭의 주요 기능은 기체 교환을 촉진하여 산소가 혈류로 확산되고 이산화탄소가 배출되도록 하는 것이며, 이는 전신 산소화를 유지하는 데 필수적입니다.","The primary function of the alveolar sac, a cluster of alveoli, is to facilitate gas exchange, allowing oxygen to diffuse into the bloodstream and carbon dioxide to be expelled, which is essential for maintaining systemic oxygenation.",알부민 클러스터인 폐포의 주요 기능은 가스 교환을 촉진하여 산소를 혈류로 확산시키고 이산화탄소는 배출되도록 하여 전신 산소화를 유지하는 데 필수적이다.
"폐포의 주요 기능은 가스 교환이 일어나는 장소이며, 이곳에서 산소가 혈류로 확산되고 이산화탄소가 호흡을 위해 방출되어 세포 호흡과 전신 항상성을 유지하는 데 매우 중요한 과정입니다.","The primary function of the alveolus is the site of gas exchange, where oxygen diffuses into the bloodstream and carbon dioxide is released for exhalation, a process crucial for maintaining cellular respiration and systemic homeostasis.",알부민의 주요 기능은 가스 교환을 위한 장소이며 산소를 혈류로 확산시키고 이산화탄소를 호흡에 방출하는 과정으로 세포 호흠과 체계적 동태성을 유지하기 위해 필수적인 것이다.
"안과 영상에서 중요한 랜드마크인 전접합선은 각막 상피와 하부 기질 사이의 경계를 나타내며, 그 온전성은 적절한 각막 생체역학 및 굴절 특성을 유지하는 데 매우 중요합니다.","The anterior junction line, a critical landmark in ophthalmic imaging, delineates the boundary between the corneal epithelium and the underlying stroma, and its integrity is paramount for maintaining proper corneal biomechanics and refractive properties.",안전 지선은 안과 영상에서 중요한 지표로 코르네아 상피와 기저 스톰마 사이의 경계를 구분하며 적절한 코르내 생역학 및 굴절 특성을 유지하기 위해 그完整성은 우수하다.
"흉부 엑스레이에서 뚜렷한 대동맥궁폐경계면이 확인되었으며, 이는 잠재적인 종격동 확장 또는 추가적인 영상 기법을 통한 조사가 필요한 기저 심혈관 병리를 시사합니다.","The chest X-ray revealed a prominent aortic pulmonary stripe, suggesting potential mediastinal widening or underlying cardiovascular pathology that warrants further investigation with advanced imaging techniques.",흉부 엑스레이에서 두드러진 대동맥 폐 줄기가 나타나고 있어 잠재적인 중격 확장이나 기저 심혈관 병리학을 암시하며 추가 영상 기술로 조사가 필요하다.
"심초음파 검사 결과, 상행 대동맥과 폐동맥 사이의 비정상적인 연결을 특징으로 하는 드문 선천성 심장 결함인 상당한 대동맥폐동맥창이 확인되었으며, 폐동맥 고혈압 및 울혈성 심부전의 발생을 예방하기 위해 즉각적인 외과적 중재가 필요했습니다.","The echocardiogram revealed a significant aortopulmonary window, a rare congenital cardiac defect characterized by an abnormal communication between the ascending aorta and the pulmonary artery, necessitating immediate surgical intervention to prevent the development of pulmonary hypertension and congestive heart failure.",초음파 심장 검사에서 상행 대동맥과 폐 동맥 사이의 비정상적인 통신으로 특징지어진 드문 선천성 심장 결함인 유의미한 대동막 창이 발견되어 즉각적 수술 개입을 통해 폐 고혈압 및 부종성 심부전 발생 방지를 위해 필요하다.
